2019-06-04 15:35:20,943 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\test\resources
2019-06-04 15:36:00,922 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-06-04 15:36:01,172 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.qa:AccountSETemplate:0.0.1-SNAPSHOT @ C:\Users\Admin\helloworld project\AccountSETemplate\pom.xml.
2019-06-04 15:36:01,250 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplate/src/main/java
2019-06-04 15:36:01,250 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplate/src/test/java
2019-06-04 15:36:01,297 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-06-04 15:36:01,437 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:36:01,437 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\main\resources
2019-06-04 15:36:01,437 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:36:01,453 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\test\resources
2019-06-04 15:36:05,126 [Worker-25] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Admin\helloworld project\AccountSETemplate
2019-06-04 15:36:05,126 [Worker-25] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-06-04 15:36:06,931 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:36:06,931 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\main\resources
2019-06-04 15:36:06,931 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:36:06,931 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\test\resources
2019-06-04 15:37:30,268 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-06-04 15:37:30,472 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.qa:AccountSETemplate:0.0.1-SNAPSHOT @ C:\Users\Admin\helloworld project\AccountSETemplate\pom.xml.
2019-06-04 15:37:30,550 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplate/src/main/java
2019-06-04 15:37:30,550 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AccountSETemplate/src/test/java
2019-06-04 15:37:30,597 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-06-04 15:37:30,737 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:37:30,737 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\main\resources
2019-06-04 15:37:30,753 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:37:30,753 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\test\resources
2019-06-04 15:37:34,552 [Worker-25] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Admin\helloworld project\AccountSETemplate
2019-06-04 15:37:34,552 [Worker-25] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-06-04 15:37:36,331 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:37:36,331 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\main\resources
2019-06-04 15:37:36,347 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-04 15:37:36,347 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Admin\helloworld project\AccountSETemplate\src\test\resources
